Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520741793,2018-03-11T04:16:33Z,AVA120,"4.700993,-74.141899",0,2,258
1520741838,2018-03-11T04:17:18Z,AVA120,"4.701089,-74.141624",0,2,295
1520741917,2018-03-11T04:18:37Z,AVA120,"4.701055,-74.141487",0,2,300
1520741969,2018-03-11T04:19:29Z,AVA120,"4.701279,-74.141716",0,2,315
1520742193,2018-03-11T04:23:13Z,AVA120,"4.701636,-74.142181",0,18,317
1520742284,2018-03-11T04:24:44Z,AVA120,"4.704071,-74.14325",0,21,25
1520742291,2018-03-11T04:24:51Z,AVA120,"4.70438,-74.143402",0,21,331
1520742299,2018-03-11T04:24:59Z,AVA120,"4.704581,-74.1437",0,22,312
1520742311,2018-03-11T04:25:11Z,AVA120,"4.704872,-74.144112",0,23,312
1520742317,2018-03-11T04:25:17Z,AVA120,"4.705032,-74.144318",0,24,312
1520742324,2018-03-11T04:25:24Z,AVA120,"4.705204,-74.144539",0,25,312
1520742332,2018-03-11T04:25:32Z,AVA120,"4.705477,-74.14489",0,26,312
1520742338,2018-03-11T04:25:38Z,AVA120,"4.705651,-74.145142",0,27,312
1520742344,2018-03-11T04:25:44Z,AVA120,"4.705856,-74.145401",0,28,312
1520742351,2018-03-11T04:25:51Z,AVA120,"4.706024,-74.14563",0,29,312
1520742359,2018-03-11T04:25:59Z,AVA120,"4.706396,-74.146111",0,31,312
1520742365,2018-03-11T04:26:05Z,AVA120,"4.706559,-74.146339",0,31,312
1520742371,2018-03-11T04:26:11Z,AVA120,"4.706852,-74.146706",0,33,315
1520742380,2018-03-11T04:26:20Z,AVA120,"4.707188,-74.147163",0,34,312
1520742387,2018-03-11T04:26:27Z,AVA120,"4.707481,-74.147545",0,15,312
1520742393,2018-03-11T04:26:33Z,AVA120,"4.707723,-74.147881",0,15,312
1520742399,2018-03-11T04:26:39Z,AVA120,"4.708003,-74.148247",0,16,312
1520742411,2018-03-11T04:26:51Z,AVA120,"4.708569,-74.148987",0,17,312
1520742417,2018-03-11T04:26:57Z,AVA120,"4.708866,-74.149391",0,17,312
1520742423,2018-03-11T04:27:03Z,AVA120,"4.709166,-74.14978",0,17,312
1520742435,2018-03-11T04:27:15Z,AVA120,"4.709702,-74.15049",0,18,312
1520742441,2018-03-11T04:27:21Z,AVA120,"4.710039,-74.15094",0,15,312
1520742447,2018-03-11T04:27:27Z,AVA120,"4.710239,-74.151207",0,34,312
1520742456,2018-03-11T04:27:36Z,AVA120,"4.710575,-74.151665",0,25,312
1520742471,2018-03-11T04:27:51Z,AVA120,"4.710865,-74.152031",0,18,315
1520742489,2018-03-11T04:28:09Z,AVA120,"4.711424,-74.152176",0,20,350
1520742555,2018-03-11T04:29:15Z,AVA120,"4.711853,-74.152199",0,10,2
1520742574,2018-03-11T04:29:34Z,AVA120,"4.712227,-74.152237",0,15,357
1520742592,2018-03-11T04:29:52Z,AVA120,"4.712814,-74.152283",0,20,5
1520742601,2018-03-11T04:30:01Z,AVA120,"4.713112,-74.152107",0,23,42
1520742607,2018-03-11T04:30:07Z,AVA120,"4.71317,-74.151894",0,25,75
1520742619,2018-03-11T04:30:19Z,AVA120,"4.712751,-74.151192",0,19,132
1520742625,2018-03-11T04:30:25Z,AVA120,"4.712297,-74.150597",0,39,132
1520742634,2018-03-11T04:30:34Z,AVA120,"4.710551,-74.148293",0,80,132
1520742743,2018-03-11T04:32:23Z,AVA120,"4.702288,-74.075363",10575,215,13
1520742756,2018-03-11T04:32:36Z,AVA120,"4.714299,-74.072998",10975,218,11
1520742768,2018-03-11T04:32:48Z,AVA120,"4.726402,-74.070389",11125,230,12
1520742779,2018-03-11T04:32:59Z,AVA120,"4.739731,-74.067497",11300,244,12
1520742791,2018-03-11T04:33:11Z,AVA120,"4.753235,-74.064705",11475,257,11
1520742803,2018-03-11T04:33:23Z,AVA120,"4.767746,-74.061676",11650,271,12
1520742815,2018-03-11T04:33:35Z,AVA120,"4.783218,-74.058281",11875,284,12
1520742830,2018-03-11T04:33:50Z,AVA120,"4.803268,-74.053902",12175,300,12
1520742864,2018-03-11T04:34:24Z,AVA120,"4.849672,-74.043304",13325,313,14
1520742897,2018-03-11T04:34:57Z,AVA120,"4.896194,-74.028069",14350,318,19
1520742930,2018-03-11T04:35:30Z,AVA120,"4.943527,-74.012009",15275,326,19
1520742963,2018-03-11T04:36:03Z,AVA120,"4.991043,-73.995712",16325,332,18
1520742996,2018-03-11T04:36:36Z,AVA120,"5.041933,-73.980652",17375,338,14
1520743029,2018-03-11T04:37:09Z,AVA120,"5.092941,-73.968201",18175,351,14
1520743090,2018-03-11T04:38:10Z,AVA120,"5.194107,-73.942879",19100,389,14
1520743153,2018-03-11T04:39:13Z,AVA120,"5.311249,-73.913551",20025,428,14
1520743214,2018-03-11T04:40:14Z,AVA120,"5.425781,-73.885056",21950,412,13
1520743277,2018-03-11T04:41:17Z,AVA120,"5.546746,-73.855499",22775,423,13
1520743338,2018-03-11T04:42:18Z,AVA120,"5.665009,-73.831245",23950,429,11
1520743401,2018-03-11T04:43:21Z,AVA120,"5.790354,-73.805534",25375,440,11
1520743462,2018-03-11T04:44:22Z,AVA120,"5.911715,-73.776604",26700,455,21
1520743468,2018-03-11T04:44:28Z,AVA120,"5.922363,-73.771843",26800,458,25
1520743474,2018-03-11T04:44:34Z,AVA120,"5.934586,-73.765793",26950,459,26
1520743480,2018-03-11T04:44:40Z,AVA120,"5.94635,-73.759598",27075,461,27
1520743486,2018-03-11T04:44:46Z,AVA120,"5.958069,-73.753319",27200,462,28
1520743552,2018-03-11T04:45:52Z,AVA120,"6.083954,-73.68251",28450,474,32
1520743613,2018-03-11T04:46:53Z,AVA120,"6.198011,-73.610718",29600,480,31
1520743646,2018-03-11T04:47:26Z,AVA120,"6.261795,-73.571251",30000,487,31
1520743740,2018-03-11T04:49:00Z,AVA120,"6.445669,-73.457291",29975,523,31
1520743773,2018-03-11T04:49:33Z,AVA120,"6.516129,-73.406036",29975,529,41
1520743837,2018-03-11T04:50:37Z,AVA120,"6.631668,-73.302734",29975,514,41
1520743859,2018-03-11T04:50:59Z,AVA120,"6.666792,-73.27597",30000,514,34
1520743948,2018-03-11T04:52:28Z,AVA120,"6.87395,-73.26252",30000,500,349
1520744010,2018-03-11T04:53:30Z,AVA120,"7.015515,-73.289558",30000,495,348
1520744072,2018-03-11T04:54:32Z,AVA120,"7.153381,-73.325081",30000,496,344
1520744118,2018-03-11T04:55:18Z,AVA120,"7.25647,-73.349106",30000,502,354
1520744124,2018-03-11T04:55:24Z,AVA120,"7.270981,-73.349846",30000,504,358
1520744149,2018-03-11T04:55:49Z,AVA120,"7.329071,-73.343796",29975,511,11
1520744155,2018-03-11T04:55:55Z,AVA120,"7.343857,-73.339935",29975,513,15
1520744168,2018-03-11T04:56:08Z,AVA120,"7.372013,-73.329811",30000,516,21
1520744176,2018-03-11T04:56:16Z,AVA120,"7.39189,-73.321236",30000,518,23
1520744182,2018-03-11T04:56:22Z,AVA120,"7.405701,-73.31498",30000,518,24
1520744244,2018-03-11T04:57:24Z,AVA120,"7.54216,-73.252182",30625,522,24
1520744300,2018-03-11T04:58:20Z,AVA120,"7.66571,-73.202332",31625,512,14
1520744306,2018-03-11T04:58:26Z,AVA120,"7.680862,-73.199486",31775,509,9
1520744316,2018-03-11T04:58:36Z,AVA120,"7.702377,-73.197159",31925,506,4
1520744322,2018-03-11T04:58:42Z,AVA120,"7.716888,-73.196693",32050,504,1
1520744343,2018-03-11T04:59:03Z,AVA120,"7.765411,-73.201767",32375,498,349
1520744349,2018-03-11T04:59:09Z,AVA120,"7.779624,-73.204796",32475,497,347
1520744371,2018-03-11T04:59:31Z,AVA120,"7.827107,-73.219429",32825,493,339
1520744377,2018-03-11T04:59:37Z,AVA120,"7.840805,-73.225136",32925,492,336
1520744383,2018-03-11T04:59:43Z,AVA120,"7.853037,-73.230789",33000,490,334
1520744389,2018-03-11T04:59:49Z,AVA120,"7.865433,-73.237099",33100,490,332
1520744395,2018-03-11T04:59:55Z,AVA120,"7.877942,-73.244095",33175,489,330
1520744460,2018-03-11T05:01:00Z,AVA120,"8.003723,-73.322006",33475,503,328
1520744521,2018-03-11T05:02:01Z,AVA120,"8.127731,-73.398636",34125,510,328
1520744582,2018-03-11T05:03:02Z,AVA120,"8.24887,-73.473488",35300,503,328
1520744643,2018-03-11T05:04:03Z,AVA120,"8.37228,-73.549774",35975,505,328
1520744705,2018-03-11T05:05:05Z,AVA120,"8.49472,-73.62558",36000,505,328
1520744767,2018-03-11T05:06:07Z,AVA120,"8.615795,-73.7006",36000,503,328
1520744806,2018-03-11T05:06:46Z,AVA120,"8.697401,-73.746674",35975,507,338
1520744812,2018-03-11T05:06:52Z,AVA120,"8.711181,-73.751503",36000,508,342
1520744818,2018-03-11T05:06:58Z,AVA120,"8.724914,-73.755249",35975,509,346
1520744824,2018-03-11T05:07:04Z,AVA120,"8.739532,-73.758247",36000,510,349
1520744830,2018-03-11T05:07:10Z,AVA120,"8.754181,-73.760109",35975,512,353
1520744837,2018-03-11T05:07:17Z,AVA120,"8.76796,-73.760994",36000,513,357
1520744861,2018-03-11T05:07:41Z,AVA120,"8.827332,-73.754105",35975,517,14
1520744868,2018-03-11T05:07:48Z,AVA120,"8.840456,-73.750229",36000,518,16
1520744931,2018-03-11T05:08:51Z,AVA120,"8.987747,-73.70462",36000,517,17
1520744993,2018-03-11T05:09:53Z,AVA120,"9.128941,-73.659592",36000,517,20
1520745054,2018-03-11T05:10:54Z,AVA120,"9.263523,-73.598976",36175,520,25
1520745115,2018-03-11T05:11:55Z,AVA120,"9.395684,-73.534996",37000,513,25
1520745176,2018-03-11T05:12:56Z,AVA120,"9.527435,-73.470787",36975,515,25
1520745237,2018-03-11T05:13:57Z,AVA120,"9.658264,-73.407196",37000,517,25
1520745299,2018-03-11T05:14:59Z,AVA120,"9.791146,-73.342407",37000,520,25
1520745360,2018-03-11T05:16:00Z,AVA120,"9.924425,-73.277344",37000,519,25
1520745421,2018-03-11T05:17:01Z,AVA120,"10.057434,-73.212517",36975,518,25
1520745483,2018-03-11T05:18:03Z,AVA120,"10.189866,-73.147781",37025,521,25
1520745538,2018-03-11T05:18:58Z,AVA120,"10.301405,-73.093224",37000,522,25
1520745624,2018-03-11T05:20:24Z,AVA120,"10.498672,-72.99662",37000,523,25
1520745685,2018-03-11T05:21:25Z,AVA120,"10.633118,-72.930847",37000,521,25
1520745746,2018-03-11T05:22:26Z,AVA120,"10.766144,-72.865494",37000,523,25
1520745807,2018-03-11T05:23:27Z,AVA120,"10.899353,-72.800148",36975,525,25
1520745869,2018-03-11T05:24:29Z,AVA120,"11.035309,-72.73333",36975,526,25
1520745933,2018-03-11T05:25:33Z,AVA120,"11.176071,-72.664047",36975,527,25
1520745994,2018-03-11T05:26:34Z,AVA120,"11.309967,-72.598038",36975,528,25
1520746055,2018-03-11T05:27:35Z,AVA120,"11.444775,-72.531548",37000,528,25
1520746116,2018-03-11T05:28:36Z,AVA120,"11.57931,-72.465004",36975,528,25
1520746178,2018-03-11T05:29:38Z,AVA120,"11.715848,-72.3974",36975,528,26
1520746239,2018-03-11T05:30:39Z,AVA120,"11.850896,-72.330566",36975,530,25
1520746260,2018-03-11T05:31:00Z,AVA120,"11.896729,-72.307892",36975,530,25
1520746350,2018-03-11T05:32:30Z,AVA120,"12.098088,-72.207932",36975,531,25
1520746412,2018-03-11T05:33:32Z,AVA120,"12.234695,-72.140022",36975,533,26
1520746473,2018-03-11T05:34:33Z,AVA120,"12.369644,-72.072868",37000,532,26
1520746534,2018-03-11T05:35:34Z,AVA120,"12.506678,-72.00473",37000,533,25
1520746596,2018-03-11T05:36:36Z,AVA120,"12.643029,-71.936691",37000,532,26
1520746659,2018-03-11T05:37:39Z,AVA120,"12.780624,-71.86631",36975,533,28
1520746668,2018-03-11T05:37:48Z,AVA120,"12.801167,-71.851746",36975,534,36
1520746674,2018-03-11T05:37:54Z,AVA120,"12.811967,-71.842827",36975,534,39
1520746680,2018-03-11T05:38:00Z,AVA120,"12.823975,-71.831833",36975,535,42
1520746687,2018-03-11T05:38:07Z,AVA120,"12.834684,-71.8209",37000,535,45
1520746693,2018-03-11T05:38:13Z,AVA120,"12.845252,-71.808762",37025,535,49
1520746700,2018-03-11T05:38:20Z,AVA120,"12.855447,-71.795654",37000,535,52
1520746708,2018-03-11T05:38:28Z,AVA120,"12.867643,-71.778404",36975,536,54
1520746714,2018-03-11T05:38:34Z,AVA120,"12.87735,-71.764587",37000,536,54
1520746739,2018-03-11T05:38:59Z,AVA120,"12.91246,-71.71534",37000,536,54
1520746836,2018-03-11T05:40:36Z,AVA120,"13.053909,-71.515884",36975,537,54
1520746897,2018-03-11T05:41:37Z,AVA120,"13.144089,-71.388687",36975,538,54
1520746958,2018-03-11T05:42:38Z,AVA120,"13.233948,-71.261681",37000,539,54
1520747021,2018-03-11T05:43:41Z,AVA120,"13.32427,-71.133873",37000,534,54
1520747086,2018-03-11T05:44:46Z,AVA120,"13.41966,-70.998657",37800,531,54
1520747151,2018-03-11T05:45:51Z,AVA120,"13.51481,-70.863548",38775,530,54
1520747216,2018-03-11T05:46:56Z,AVA120,"13.60871,-70.72979",39000,530,54
1520747281,2018-03-11T05:48:01Z,AVA120,"13.70068,-70.598846",38975,527,55
1520747346,2018-03-11T05:49:06Z,AVA120,"13.79571,-70.46347",39000,529,54
1520747411,2018-03-11T05:50:11Z,AVA120,"13.88933,-70.32975",38975,530,55
1520747476,2018-03-11T05:51:16Z,AVA120,"13.98178,-70.197243",38975,530,55
1520747541,2018-03-11T05:52:21Z,AVA120,"14.07665,-70.061546",38975,532,55
1520747606,2018-03-11T05:53:26Z,AVA120,"14.17191,-69.924622",39000,532,55
1520747671,2018-03-11T05:54:31Z,AVA120,"14.26447,-69.791496",39000,531,55
1520747736,2018-03-11T05:55:36Z,AVA120,"14.35936,-69.654716",39025,535,54
1520747801,2018-03-11T05:56:41Z,AVA120,"14.45261,-69.520248",38975,531,55
1520747866,2018-03-11T05:57:46Z,AVA120,"14.54697,-69.38401",38975,533,55
1520747931,2018-03-11T05:58:51Z,AVA120,"14.63942,-69.250053",39000,537,54
1520747996,2018-03-11T05:59:56Z,AVA120,"14.73262,-69.114853",38975,536,54
1520748062,2018-03-11T06:01:02Z,AVA120,"14.82596,-68.979317",39000,535,54
1520748126,2018-03-11T06:02:06Z,AVA120,"14.92083,-68.841263",39000,533,54
1520748191,2018-03-11T06:03:11Z,AVA120,"15.01268,-68.70742",38975,534,54
1520748256,2018-03-11T06:04:16Z,AVA120,"15.10437,-68.573532",38975,535,54
1520748321,2018-03-11T06:05:21Z,AVA120,"15.19591,-68.439583",38975,534,54
1520748361,2018-03-11T06:06:01Z,AVA120,"15.24902,-68.361847",39000,533,54
1520748445,2018-03-11T06:07:25Z,AVA120,"15.357211,-68.195274",39000,530,57
1520748520,2018-03-11T06:08:40Z,AVA120,"15.431131,-68.080063",39000,530,55
1520748581,2018-03-11T06:09:41Z,AVA120,"15.510069,-67.959702",39000,530,55
1520748672,2018-03-11T06:11:12Z,AVA120,"15.696442,-67.703247",38975,534,55
1520748699,2018-03-11T06:11:39Z,AVA120,"15.733887,-67.647881",39000,534,55
1520748811,2018-03-11T06:13:31Z,AVA120,"15.874952,-67.428505",39000,530,55
1520748874,2018-03-11T06:14:34Z,AVA120,"15.957036,-67.296959",39000,530,56
1520748935,2018-03-11T06:15:35Z,AVA120,"16.059359,-67.145203",38975,535,56
1520748996,2018-03-11T06:16:36Z,AVA120,"16.143631,-67.012215",38975,538,56
1520749057,2018-03-11T06:17:37Z,AVA120,"16.227692,-66.87957",38975,542,56
1520749097,2018-03-11T06:18:17Z,AVA120,"16.280731,-66.79567",38975,542,56
1520749186,2018-03-11T06:19:46Z,AVA120,"16.404419,-66.599602",38975,544,57
1520749247,2018-03-11T06:20:47Z,AVA120,"16.487137,-66.468155",38975,544,56
1520749310,2018-03-11T06:21:50Z,AVA120,"16.576218,-66.32634",39000,545,56
1520749368,2018-03-11T06:22:48Z,AVA120,"16.652939,-66.204002",38975,542,56
1520749459,2018-03-11T06:24:19Z,AVA120,"16.780453,-66.000168",38975,542,56
1520749520,2018-03-11T06:25:20Z,AVA120,"16.863373,-65.86718",38975,540,57
1520749581,2018-03-11T06:26:21Z,AVA120,"16.9459,-65.734436",38975,537,57
1520749644,2018-03-11T06:27:24Z,AVA120,"17.031368,-65.596962",38975,537,57
1520749705,2018-03-11T06:28:25Z,AVA120,"17.114185,-65.463753",39000,537,57
1520749766,2018-03-11T06:29:26Z,AVA120,"17.196442,-65.330971",38975,537,57
1520749827,2018-03-11T06:30:27Z,AVA120,"17.278931,-65.19735",39000,541,57
1520749888,2018-03-11T06:31:28Z,AVA120,"17.361832,-65.062767",39000,540,57
1520749949,2018-03-11T06:32:29Z,AVA120,"17.444046,-64.92939",39000,539,57
1520750012,2018-03-11T06:33:32Z,AVA120,"17.529694,-64.789993",38975,541,57
1520750073,2018-03-11T06:34:33Z,AVA120,"17.612387,-64.65493",39000,542,57
1520750134,2018-03-11T06:35:34Z,AVA120,"17.694738,-64.520256",38975,542,57
1520750195,2018-03-11T06:36:35Z,AVA120,"17.776703,-64.385902",39000,542,57
1520750256,2018-03-11T06:37:36Z,AVA120,"17.858974,-64.250893",38975,542,57
1520750320,2018-03-11T06:38:40Z,AVA120,"17.944817,-64.109642",39000,543,57
1520750383,2018-03-11T06:39:43Z,AVA120,"18.030716,-63.967945",38975,542,57
1520750445,2018-03-11T06:40:45Z,AVA120,"18.113243,-63.831646",38975,542,57
1520750508,2018-03-11T06:41:48Z,AVA120,"18.199318,-63.689194",39000,542,57
1520750569,2018-03-11T06:42:49Z,AVA120,"18.280226,-63.554859",38975,543,57
1520750630,2018-03-11T06:43:50Z,AVA120,"18.362995,-63.417179",38975,544,57
1520750691,2018-03-11T06:44:51Z,AVA120,"18.444229,-63.281898",38975,541,57
1520750752,2018-03-11T06:45:52Z,AVA120,"18.52533,-63.146374",39000,543,57
1520750813,2018-03-11T06:46:53Z,AVA120,"18.60672,-63.010174",38975,543,58
1520750874,2018-03-11T06:47:54Z,AVA120,"18.688614,-62.872746",39000,544,58
1520750937,2018-03-11T06:48:57Z,AVA120,"18.773958,-62.729435",38975,545,58
1520750998,2018-03-11T06:49:58Z,AVA120,"18.856018,-62.591221",38975,545,58
1520751047,2018-03-11T06:50:47Z,AVA120,"18.920551,-62.482243",39000,545,58
1520751135,2018-03-11T06:52:15Z,AVA120,"19.03791,-62.28389",39000,546,58
1520751196,2018-03-11T06:53:16Z,AVA120,"19.12001,-62.144409",39000,546,58
1520751257,2018-03-11T06:54:17Z,AVA120,"19.201542,-62.005688",38975,546,58
1520751318,2018-03-11T06:55:18Z,AVA120,"19.28334,-61.866417",38975,548,58
1520751379,2018-03-11T06:56:19Z,AVA120,"19.357498,-61.723251",38975,554,66
1520751441,2018-03-11T06:57:21Z,AVA120,"19.416321,-61.569",38975,552,68
1520751503,2018-03-11T06:58:23Z,AVA120,"19.475361,-61.412376",39000,551,68
1520751516,2018-03-11T06:58:36Z,AVA120,"19.486633,-61.382526",39000,551,68
1520751570,2018-03-11T06:59:30Z,AVA120,"19.537043,-61.248428",39000,551,68
1520751650,2018-03-11T07:00:50Z,AVA120,"19.592958,-61.092804",39000,556,66
1520752079,2018-03-11T07:07:59Z,AVA120,"19.995407,-60.011318",39000,561,130
1520752217,2018-03-11T07:10:17Z,AVA120,"20.180849,-59.679356",39000,562,53
1520752799,2018-03-11T07:19:59Z,AVA120,"21.022758,-58.355595",39000,565,120
1520753363,2018-03-11T07:29:23Z,AVA120,"21.886786,-57.036564",39000,567,100
1520753954,2018-03-11T07:39:14Z,AVA120,"22.738001,-55.680325",39000,569,124
1520754517,2018-03-11T07:48:37Z,AVA120,"23.565166,-54.311554",39000,572,105
1520755100,2018-03-11T07:58:20Z,AVA120,"24.388018,-52.887096",39000,572,120
1520755668,2018-03-11T08:07:48Z,AVA120,"25.199556,-51.457451",39000,574,113
1520756250,2018-03-11T08:17:30Z,AVA120,"26.003971,-50.000546",39000,566,120
1520756273,2018-03-11T08:17:53Z,AVA120,"26.018661,-49.970455",39000,566,172
1520756835,2018-03-11T08:27:15Z,AVA120,"26.887695,-48.628487",39000,564,73
1520756977,2018-03-11T08:29:37Z,AVA120,"27.132244,-48.275105",39200,564,52
1520757054,2018-03-11T08:30:54Z,AVA120,"27.252253,-48.102009",39800,564,53
